범죄, 범죄, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014,
범죄, 범죄, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체,
범죄, 범죄, 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 미상, 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 미상, 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 미상, 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 미상,
범죄, 범죄, 미성년(소계), 14세미만, 14세, 15세, 16세, 17세, 18세, 성년(소계), 19세, 20세, 21~25세, 26~30세, 31~35세, 36~40세, 41~45세, 46~50세, 51~55세, 56~60세, 61~65세, 66~70세, 71세이상, 미상, 미성년(소계), 14세미만, 14세, 15세, 16세, 17세, 18세, 성년(소계), 19세, 20세, 21~25세, 26~30세, 31~35세, 36~40세, 41~45세, 46~50세, 51~55세, 56~60세, 61~65세, 66~70세, 71세이상, 미상, 미성년(소계), 14세미만, 14세, 15세, 16세, 17세, 18세, 성년(소계), 19세, 20세, 21~25세, 26~30세, 31~35세, 36~40세, 41~45세, 46~50세, 51~55세, 56~60세, 61~65세, 66~70세, 71세이상, 미상, 미성년(소계), 14세미만, 14세, 15세, 16세, 17세, 18세, 성년(소계), 19세, 20세, 21~25세, 26~30세, 31~35세, 36~40세, 41~45세, 46~50세, 51~55세, 56~60세, 61~65세, 66~70세, 71세이상, 미상
강력범죄, 강력범죄(소계), 3209, 5, 136, 502, 852, 871, 843, 22137, 776, 497, 2292, 3027, 2741, 2713, 2892, 2723, 2080, 1075, 659, 367, 295, 0, 3231, 27, 327, 487, 743, 866, 781, 20553, 662, 484, 2245, 2829, 2545, 2403, 2680, 2283, 2024, 1121, 555, 364, 358, 5, 3052, 19, 334, 497, 653, 799, 750, 22277, 640, 442, 2498, 2734, 2722, 2472, 2843, 2542, 2267, 1420, 764, 466, 467, 22, 2610, 0, 330, 466, 541, 601, 672, 22419, 631, 464, 2627, 2471, 2601, 2336, 2883, 2609, 2362, 1566, 798, 520, 551, 36,
강력범죄, 살인(기수), 7, 0, 0, 0, 2, 2, 3, 442, 2, 3, 21, 38, 53, 60, 71, 62, 56, 27, 19, 12, 18, 0, 12, 0, 1, 2, 2, 3, 4, 434, 4, 1, 36, 33, 38, 69, 58, 51, 67, 35, 14, 16, 12, 0, 6, 0, 0, 0, 0, 4, 2, 369, 3, 3, 22, 38, 29, 36, 54, 45, 49, 34, 18, 19, 19, 2, 18, 0, 1, 6, 5, 2, 4, 429, 7, 5, 31, 19, 33, 54, 70, 57, 45, 36, 31, 19, 22, 0,
강력범죄, 살인(미수등), 5, 0, 0, 1, 0, 1, 3, 831, 9, 6, 46, 64, 80, 104, 134, 152, 115, 64, 32, 12, 13, 0, 11, 0, 0, 2, 2, 4, 3, 598, 3, 5, 19, 65, 50, 66, 102, 114, 74, 48, 20, 13, 19, 1, 15, 0, 2, 2, 3, 2, 6, 605, 6, 5, 29, 54, 52, 50, 90, 98, 92, 65, 27, 13, 24, 0, 15, 0, 1, 5, 2, 4, 3, 559, 2, 4, 21, 29, 48, 63, 96, 94, 89, 59, 24, 19, 11, 1,
강력범죄, 강도, 1144, 0, 36, 185, 284, 328, 311, 3746, 239, 134, 513, 617, 546, 450, 427, 369, 236, 118, 66, 20, 11, 0, 848, 1, 61, 113, 220, 261, 192, 2472, 152, 89, 370, 476, 391, 276, 284, 176, 142, 60, 25, 20, 11, 2, 607, 1, 61, 97, 139, 170, 139, 1983, 101, 69, 308, 296, 319, 252, 240, 162, 111, 73, 32, 9, 11, 3, 405, 0, 37, 87, 94, 98, 89, 1663, 70, 59, 262, 246, 255, 203, 196, 130, 110, 74, 33, 14, 11, 10,
강력범죄, 강간·강제추행, 1883, 5, 80, 280, 507, 502, 509, 15769, 511, 341, 1647, 2240, 1937, 1947, 2026, 1877, 1449, 762, 494, 301, 237, 0, 2164, 17, 215, 326, 485, 565, 556, 15846, 480, 380, 1773, 2179, 1991, 1848, 2027, 1710, 1527, 876, 462, 297, 296, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
강력범죄, 강간, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 866, 1, 51, 159, 178, 248, 229, 4983, 204, 152, 740, 805, 697, 552, 516, 435, 405, 216, 117, 80, 64, 7, 824, 0, 80, 135, 156, 228, 225, 4677, 214, 157, 823, 681, 653, 462, 471, 430, 346, 224, 89, 64, 63, 16,
강력범죄, 유사강간, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 20, 0, 5, 3, 3, 5, 4, 116, 7, 2, 19, 9, 10, 15, 15, 12, 12, 7, 4, 2, 2, 0, 70, 0, 11, 14, 16, 19, 10, 319, 12, 14, 51, 38, 36, 31, 39, 26, 27, 17, 11, 11, 6, 0,
강력범죄, 강제추행, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 868, 14, 133, 144, 177, 184, 216, 11620, 225, 158, 1103, 1237, 1350, 1298, 1585, 1449, 1286, 849, 489, 292, 299, 8, 883, 0, 136, 157, 165, 155, 270, 12509, 268, 180, 1222, 1278, 1351, 1306, 1693, 1567, 1430, 969, 523, 344, 378, 8,
강력범죄, 기타(강간·강제추행), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 529, 1, 40, 61, 124, 164, 139, 1356, 73, 42, 216, 219, 173, 157, 130, 116, 103, 54, 35, 20, 18, 2, 239, 0, 17, 26, 65, 71, 60, 953, 43, 32, 143, 122, 124, 104, 104, 72, 86, 50, 25, 21, 27, 1,
강력범죄, 방화, 170, 0, 20, 36, 59, 38, 17, 1349, 15, 13, 65, 68, 125, 152, 234, 263, 224, 104, 48, 22, 16, 0, 196, 9, 50, 44, 34, 33, 26, 1203, 23, 9, 47, 76, 75, 144, 209, 232, 214, 102, 34, 18, 20, 0, 141, 2, 42, 31, 29, 22, 15, 1245, 21, 11, 61, 76, 92, 112, 213, 225, 209, 122, 42, 31, 30, 0, 156, 0, 47, 36, 38, 24, 11, 1310, 15, 13, 74, 58, 101, 113, 214, 233, 229, 137, 62, 28, 33, 0,
절도범죄, , 32693, 63, 2796, 8700, 9644, 6671, 4819, 78695, 4063, 2511, 8785, 8883, 8056, 8301, 8750, 9305, 8156, 5030, 3109, 1965, 1781, 2, 36634, 276, 6380, 9114, 9602, 6696, 4566, 67779, 3269, 2112, 8928, 7747, 6854, 6267, 7257, 7226, 7327, 4619, 2626, 1799, 1748, 21, 32499, 69, 6392, 8206, 7950, 5765, 4117, 70136, 3171, 2011, 9234, 7670, 7312, 6442, 7522, 7376, 7488, 5052, 2945, 1820, 2093, 23, 25999, 5, 5241, 6554, 6220, 4508, 3471, 69613, 2774, 1832, 8875, 6943, 7019, 6104, 7205, 7189, 7772, 5597, 3439, 2147, 2717, 33,
폭력범죄, 폭력범죄(소계), 23807, 63, 1681, 5306, 5892, 5338, 5527, 368231, 6911, 5193, 28877, 39995, 38681, 43786, 53130, 55748, 47019, 24912, 12342, 6758, 4879, 4, 33055, 202, 4046, 6626, 7450, 7272, 7459, 367161, 7435, 5645, 31809, 38049, 39068, 41651, 51522, 53523, 47884, 26100, 12414, 6827, 5234, 66, 22589, 91, 2760, 3772, 4197, 5213, 6556, 347067, 6623, 4896, 30319, 33443, 37976, 38261, 48359, 49544, 46442, 26487, 12530, 6494, 5693, 257, 20001, 11, 2327, 3473, 3637, 4271, 6282, 337952, 7056, 4790, 30183, 29491, 36294, 35361, 45923, 46417, 46375, 28767, 13559, 7125, 6611, 322,
폭력범죄, 상해, 2695, 9, 160, 457, 562, 657, 850, 86443, 1125, 912, 5565, 8366, 8700, 10351, 12609, 13587, 11893, 6460, 3304, 2015, 1556, 0, 3224, 13, 266, 450, 642, 789, 1064, 81623, 1182, 937, 5863, 7578, 8101, 9223, 11663, 12203, 11549, 6542, 3251, 1911, 1620, 3, 2580, 23, 236, 324, 442, 656, 899, 72607, 1020, 811, 5314, 6185, 7558, 7977, 10187, 10628, 10375, 6109, 3111, 1725, 1607, 19, 2517, 1, 222, 303, 425, 603, 963, 64358, 1060, 764, 4957, 5108, 6572, 6698, 8586, 9042, 9263, 5986, 2919, 1659, 1744, 10,
폭력범죄, 폭행, 3591, 9, 136, 427, 639, 987, 1393, 158189, 2115, 1670, 9760, 15087, 16158, 19146, 23905, 25647, 22144, 11797, 5812, 2982, 1966, 2, 6185, 28, 520, 812, 1222, 1521, 2082, 161763, 2411, 1933, 11305, 15089, 16912, 18915, 23789, 25152, 22746, 12543, 5813, 3038, 2117, 27, 5500, 16, 393, 609, 907, 1355, 2220, 160691, 2480, 1836, 11809, 14083, 17208, 18187, 23268, 24047, 22950, 13108, 6121, 3074, 2520, 146, 5390, 8, 393, 571, 865, 1279, 2274, 165607, 2901, 1921, 12930, 13401, 17505, 17761, 23338, 23459, 23900, 14931, 7001, 3570, 2989, 169,
폭력범죄, 체포·감금, 21, 1, 2, 3, 3, 8, 4, 948, 9, 5, 57, 73, 108, 105, 163, 148, 124, 74, 38, 30, 14, 0, 40, 0, 3, 8, 8, 8, 13, 1071, 8, 10, 67, 103, 108, 118, 156, 160, 147, 99, 51, 23, 21, 2, 27, 0, 0, 4, 9, 9, 5, 1056, 9, 8, 54, 103, 113, 139, 149, 168, 143, 87, 43, 23, 17, 3, 10, 0, 0, 1, 3, 1, 5, 1101, 18, 13, 77, 97, 112, 115, 158, 135, 183, 97, 57, 18, 21, 7,
폭력범죄, 협박, 70, 3, 3, 15, 11, 21, 17, 3785, 11, 24, 103, 193, 339, 468, 643, 726, 619, 349, 155, 89, 66, 0, 183, 9, 23, 39, 45, 29, 38, 4547, 31, 23, 131, 253, 403, 546, 746, 839, 778, 376, 211, 127, 83, 2, 127, 1, 15, 24, 28, 25, 34, 4537, 24, 24, 153, 271, 431, 507, 726, 782, 753, 448, 239, 95, 84, 18, 142, 0, 20, 26, 22, 47, 27, 4995, 39, 25, 186, 276, 415, 580, 773, 836, 863, 547, 228, 132, 95, 23,
폭력범죄, 약취·유인, 16, 0, 0, 2, 1, 4, 9, 324, 10, 9, 33, 39, 41, 48, 54, 40, 13, 19, 10, 5, 3, 0, 16, 0, 7, 0, 1, 3, 5, 254, 5, 11, 32, 30, 26, 25, 37, 29, 23, 18, 12, 4, 2, 0, 20, 0, 1, 1, 3, 7, 8, 240, 2, 6, 12, 28, 36, 43, 36, 20, 24, 12, 8, 7, 6, 0, 13, 0, 0, 1, 2, 0, 10, 238, 9, 5, 16, 29, 34, 37, 23, 23, 18, 20, 13, 4, 7, 1,
폭력범죄, 폭력행위, 15386, 29, 1210, 3880, 4106, 3232, 2929, 88035, 3288, 2333, 11863, 13466, 10091, 9739, 10634, 10590, 8216, 4163, 1944, 1016, 692, 2, 19839, 110, 2680, 4390, 4657, 4250, 3752, 86393, 3386, 2490, 12630, 12183, 10141, 9021, 10169, 10101, 8263, 4297, 1960, 1002, 750, 24, 12467, 46, 1792, 2383, 2454, 2789, 3003, 77343, 2686, 1943, 11177, 10227, 9225, 7942, 9292, 9105, 7924, 4336, 1837, 899, 750, 48, 10472, 2, 1516, 2256, 2005, 2085, 2608, 69557, 2574, 1734, 9946, 8104, 8284, 6735, 8289, 8100, 7564, 4431, 1990, 981, 825, 84,
폭력범죄, 공갈, 1576, 0, 136, 466, 491, 312, 171, 2210, 99, 57, 101, 198, 242, 253, 330, 337, 279, 155, 81, 48, 30, 0, 2778, 19, 473, 836, 744, 469, 237, 2677, 139, 43, 154, 214, 297, 304, 402, 437, 365, 178, 79, 40, 25, 0, 1101, 1, 260, 306, 218, 191, 125, 2081, 62, 31, 124, 175, 258, 240, 290, 296, 281, 166, 86, 44, 28, 7, 754, 0, 132, 224, 178, 112, 108, 2907, 68, 51, 185, 206, 342, 316, 428, 402, 431, 269, 122, 58, 29, 13,
